shell,h2_basis_index,Act_support_size,Act_profile_ids,Act_image_zero,Act_image_nonnegative_by_three_level_certificates,status_multiset
16,71,4,"624,633,992,1002",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,72,4,"624,633,992,1003",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,73,6,"367,372,624,633,992,1008",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,74,4,"624,639,992,1009",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,75,8,"214,218,367,372,624,633,992,1012",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
16,76,10,"113,115,214,218,367,372,624,633,992,1014",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
16,77,12,"41,43,113,115,214,218,367,372,624,633,992,1015",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
16,78,4,"4067,4112,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,79,2,"1104,1110",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,80,4,"4052,4104,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,81,4,"6,7,4093,4104",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,82,2,"1449,1460",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,83,4,"6,7,4100,4104",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,84,2,"1454,1460",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,85,4,"4053,4104,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,86,4,"4062,4104,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,87,2,"1109,1110",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,88,4,"6,7,1103,1110",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,89,4,"975,977,1478,1481",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,90,4,"975,977,1480,1481",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,91,4,"975,977,1481,1482",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,92,6,"624,625,975,992,1481,1499",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,93,4,"975,992,1481,1497",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,94,6,"624,633,975,992,1481,1508",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,95,8,"367,368,624,633,975,992,1481,1509",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
16,96,8,"367,372,624,633,975,992,1481,1514",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
16,97,10,"214,218,367,372,624,633,975,992,1481,1518",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
16,98,14,"41,42,113,115,214,218,367,372,624,633,975,992,1481,1521",False,True,"{""EXACT_RATIONAL_PASS"": 14}"
16,99,4,"3741,3797,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,100,4,"6,7,1643,1644",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,101,6,"6,7,3728,3768,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,102,6,"6,7,3709,3768,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,103,4,"6,7,3794,3797",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
