shell,profile_id,actor_image_occurrences,certificate_status,certificate_support_size
12,3352,1,EXACT_RATIONAL_PASS,88
12,3357,1,EXACT_RATIONAL_PASS,87
12,3368,14,EXACT_RATIONAL_PASS,87
12,3371,1,EXACT_RATIONAL_PASS,86
12,3374,1,EXACT_RATIONAL_PASS,88
12,3378,1,EXACT_RATIONAL_PASS,88
12,3465,1,EXACT_RATIONAL_PASS,87
12,3475,1,EXACT_RATIONAL_PASS,87
12,3487,1,EXACT_RATIONAL_PASS,87
12,3489,1,EXACT_RATIONAL_PASS,87
12,3492,1,EXACT_RATIONAL_PASS,87
12,3493,21,EXACT_RATIONAL_PASS,88
12,3494,1,EXACT_RATIONAL_PASS,88
12,3495,1,EXACT_RATIONAL_PASS,87
12,3504,1,EXACT_RATIONAL_PASS,85
12,3505,1,EXACT_RATIONAL_PASS,87
12,3506,1,EXACT_RATIONAL_PASS,83
12,3507,8,EXACT_RATIONAL_PASS,84
12,3508,1,EXACT_RATIONAL_PASS,87
12,3509,82,EXACT_RATIONAL_PASS,87
12,3510,1,EXACT_RATIONAL_PASS,86
12,3513,1,EXACT_RATIONAL_PASS,85
12,3531,1,EXACT_RATIONAL_PASS,88
12,3538,1,EXACT_RATIONAL_PASS,86
12,3540,1,EXACT_RATIONAL_PASS,87
12,3542,1,EXACT_RATIONAL_PASS,86
12,3555,1,EXACT_RATIONAL_PASS,86
12,3556,1,EXACT_RATIONAL_PASS,86
12,3557,84,EXACT_RATIONAL_PASS,86
12,3558,1,EXACT_RATIONAL_PASS,88
12,3559,1,EXACT_RATIONAL_PASS,86
12,3560,1,EXACT_RATIONAL_PASS,85
12,3561,1,EXACT_RATIONAL_PASS,85
12,3574,1,EXACT_RATIONAL_PASS,87
12,3576,1,EXACT_RATIONAL_PASS,86
12,3578,1,EXACT_RATIONAL_PASS,84
12,3579,1,EXACT_RATIONAL_PASS,87
12,3590,1,EXACT_RATIONAL_PASS,84
12,3591,1,EXACT_RATIONAL_PASS,86
12,3593,1,EXACT_RATIONAL_PASS,86
12,3594,1,EXACT_RATIONAL_PASS,83
12,3595,1,EXACT_RATIONAL_PASS,87
12,3602,1,EXACT_RATIONAL_PASS,85
12,3608,1,EXACT_RATIONAL_PASS,86
12,3611,1,EXACT_RATIONAL_PASS,83
12,3612,1,EXACT_RATIONAL_PASS,87
12,3613,1,EXACT_RATIONAL_PASS,85
12,3620,1,EXACT_RATIONAL_PASS,81
12,3621,1,EXACT_RATIONAL_PASS,85
12,3623,1,EXACT_RATIONAL_PASS,86
12,3624,1,EXACT_RATIONAL_PASS,84
12,3627,1,EXACT_RATIONAL_PASS,86
12,3629,1,EXACT_RATIONAL_PASS,85
12,3631,1,EXACT_RATIONAL_PASS,67
12,3632,1,EXACT_RATIONAL_PASS,74
12,3709,1,EXACT_RATIONAL_PASS,87
12,3710,1,EXACT_RATIONAL_PASS,86
12,3719,1,EXACT_RATIONAL_PASS,88
12,3721,1,EXACT_RATIONAL_PASS,87
12,3722,1,EXACT_RATIONAL_PASS,88
12,3725,1,EXACT_RATIONAL_PASS,88
12,3728,1,EXACT_RATIONAL_PASS,88
12,3736,1,EXACT_RATIONAL_PASS,87
12,3740,1,EXACT_RATIONAL_PASS,85
12,3741,1,EXACT_RATIONAL_PASS,88
12,3745,1,EXACT_RATIONAL_PASS,87
12,3762,1,EXACT_RATIONAL_PASS,87
12,3764,1,EXACT_RATIONAL_PASS,87
12,3768,12,EXACT_RATIONAL_PASS,88
12,3776,1,EXACT_RATIONAL_PASS,88
12,3780,1,EXACT_RATIONAL_PASS,87
12,3783,1,EXACT_RATIONAL_PASS,88
12,3791,1,EXACT_RATIONAL_PASS,88
12,3792,1,EXACT_RATIONAL_PASS,87
12,3794,1,EXACT_RATIONAL_PASS,84
