automaton_edge_id,source_state_id,target_state_id,source_grammar_cell_id,target_grammar_cell_id,edit_kind_code,edit_position,source_symbol_id,target_symbol_id,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,new_spectral_cut_edge_flag
611,191,304,191,304,0,8,1,4,1,0,0,0,1,0,0
612,191,329,191,329,1,7,-1,5,1,0,0,0,1,0,0
613,191,389,191,389,0,6,2,4,1,0,0,0,1,0,0
614,192,200,192,200,1,11,-1,2,1,0,0,0,1,0,0
615,192,307,192,307,0,8,1,4,1,0,0,0,1,0,0
616,192,330,192,330,1,7,-1,5,1,0,0,0,1,0,0
617,193,208,193,208,1,8,-1,2,1,0,0,0,1,0,0
618,193,331,193,331,1,7,-1,5,1,0,0,0,1,0,0
619,194,195,194,195,2,14,4,-1,1,0,0,0,1,0,0
620,194,197,194,197,0,13,1,3,1,0,0,0,1,0,0
621,194,199,194,199,0,13,1,4,1,0,0,0,1,0,0
622,194,200,194,200,2,12,1,-1,1,0,0,0,1,0,0
623,194,205,194,205,0,12,1,2,1,0,0,0,1,0,0
624,194,206,194,206,0,12,1,5,1,0,0,0,1,0,0
625,194,308,194,308,0,8,1,4,1,0,0,0,1,0,0
626,195,196,195,196,0,13,1,2,1,0,0,0,1,0,0
627,195,200,195,200,0,13,1,4,1,0,0,0,1,0,0
628,195,203,195,203,2,12,1,-1,1,0,0,0,1,0,0
629,195,204,195,204,0,13,1,5,1,0,0,0,1,0,0
630,195,309,195,309,0,8,1,4,1,0,0,0,1,0,0
631,196,200,196,200,0,13,2,4,1,0,0,0,1,0,0
632,196,203,196,203,2,13,2,-1,1,0,0,0,1,0,0
633,196,204,196,204,0,13,2,5,1,0,0,0,1,0,0
634,196,310,196,310,0,8,1,4,1,0,0,0,1,0,0
635,197,199,197,199,0,13,3,4,1,0,0,0,1,0,0
636,197,200,197,200,2,13,3,-1,1,0,0,0,1,0,0
637,197,311,197,311,0,8,1,4,1,0,0,0,1,0,0
638,198,200,198,200,0,14,3,5,1,0,0,0,1,0,0
639,198,312,198,312,0,8,1,4,1,0,0,0,1,0,0
640,199,200,199,200,2,13,4,-1,1,0,0,0,1,0,0
641,199,202,199,202,0,14,4,5,1,0,0,0,1,0,0
642,199,313,199,313,0,8,1,4,1,0,0,0,1,0,0
643,200,201,200,201,1,15,-1,2,1,0,0,0,1,0,0
644,200,202,200,202,1,14,-1,5,1,0,0,0,1,0,0
645,200,203,200,203,2,13,4,-1,1,0,0,0,1,0,0
646,200,204,200,204,0,13,4,5,1,0,0,0,1,0,0
647,200,205,200,205,1,11,-1,2,1,0,0,0,1,0,0
648,200,206,200,206,1,12,-1,5,1,0,0,0,1,0,0
649,200,209,200,209,1,8,-1,2,1,0,0,0,1,0,0
650,200,314,200,314,0,8,1,4,1,0,0,0,1,0,0
651,200,332,200,332,1,7,-1,5,1,0,0,0,1,0,0
652,200,390,200,390,0,6,2,4,1,0,0,0,1,0,0
653,201,202,201,202,0,15,2,5,1,0,0,0,1,0,0
654,201,315,201,315,0,8,1,4,1,0,0,0,1,0,0
655,202,204,202,204,2,13,4,-1,1,0,0,0,1,0,0
656,202,316,202,316,0,8,1,4,1,0,0,0,1,0,0
657,203,204,203,204,1,13,-1,5,1,0,0,0,1,0,0
658,203,317,203,317,0,8,1,4,1,0,0,0,1,0,0
659,204,318,204,318,0,8,1,4,1,0,0,0,1,0,0
660,205,206,205,206,0,12,2,5,1,0,0,0,1,0,0
661,205,319,205,319,0,8,1,4,1,0,0,0,1,0,0
