poincare_point_id,automaton_state_id,promoted_recurrent_class_id,spectral_side_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,fiedler_value_x1e12,third_mode_value_x1e12,left_boundary_flag,right_boundary_flag,gate_word_flag,promoted_window_repair_flag,promoted_only_flag
225,232,0,1,83488069000,108899645000,137220226000,17978865000,23451160000,0,0,0,0,0
226,233,0,1,116242738000,154132456000,193052293000,25032469000,33191888000,0,0,0,0,0
227,234,0,1,94982614000,127306542000,158835301000,20454176000,27415021000,0,0,0,0,0
228,235,0,1,133875986000,159285817000,208073908000,28829728000,34301647000,0,0,0,0,0
229,236,0,1,89854503000,116387232000,147036796000,19349855000,25063586000,0,0,0,0,0
230,237,0,1,91764193000,124738619000,154856031000,19761100000,26862028000,0,0,0,1,0
231,238,0,1,132371893000,101700235000,166928894000,28505827000,21900792000,0,0,0,0,0
232,239,0,1,133247050000,109474573000,172451322000,28694289000,23574969000,0,0,0,0,0
233,240,0,1,114748431000,92393933000,147322236000,24710676000,19896712000,0,0,0,0,0
234,241,0,1,125807581000,105430000000,164143329000,27092225000,22703984000,0,0,0,0,0
235,242,0,1,88561739000,65352271000,110064076000,19071462000,14073384000,0,0,0,0,0
236,243,0,1,62577728000,43464031000,76191168000,13475896000,9359828000,0,0,0,0,0
237,244,0,1,99085846000,73476622000,123356471000,21337792000,15822935000,0,0,0,0,0
238,245,0,1,183164924000,117462280000,217593145000,39443929000,25295094000,0,0,0,0,0
239,246,0,1,76527385000,56040840000,94852604000,16479906000,12068200000,0,0,0,0,0
240,247,0,1,99179757000,74547072000,124072117000,21358016000,16053453000,0,0,0,0,0
241,248,0,1,153642663000,133445426000,203503685000,33086413000,28737008000,0,0,0,0,0
242,249,0,1,119363896000,104959792000,158947468000,25704600000,22602726000,0,0,0,0,0
243,250,0,1,133429631000,110782005000,173424678000,28733607000,23856519000,0,0,0,0,0
244,251,0,1,123089406000,100640224000,158995146000,26506876000,21672522000,0,0,0,0,0
245,252,0,1,116537703000,94497416000,150035989000,25095989000,20349690000,0,0,0,0,0
246,253,0,1,108074954000,87688631000,139174322000,23273566000,18883442000,0,0,0,0,0
247,254,0,1,98085385000,76634911000,124473501000,21122347000,16503062000,0,0,0,0,0
248,255,0,1,75994554000,56156448000,94491898000,16365163000,12093096000,0,0,0,0,0
249,256,0,1,107487642000,84280190000,136589690000,23147090000,18149446000,0,0,0,0,0
250,257,0,1,205316766000,144876124000,251284830000,44214251000,31198570000,0,0,0,0,0
251,258,0,1,86946089000,68718464000,110823507000,18723538000,14798282000,0,0,0,0,0
252,259,0,1,107479560000,84633712000,136801758000,23145350000,18225575000,0,0,0,0,0
253,260,0,1,124999361000,103254429000,162130557000,26918178000,22235482000,0,0,0,0,0
254,261,0,1,116668201000,94300196000,150013320000,25124091000,20307219000,0,0,0,0,0
255,262,0,1,113440635000,95674835000,148399635000,24429046000,20603243000,0,0,0,0,0
256,263,0,1,117462654000,104295428000,157082817000,25295174000,22459658000,0,0,0,0,0
257,264,0,1,109737314000,105894143000,152498681000,23631549000,22803935000,0,0,0,0,0
258,265,0,1,102171748000,93481318000,138484017000,22002331000,20130877000,0,0,0,0,0
259,266,0,1,107262589000,101773958000,147862104000,23098626000,21916668000,0,0,0,0,0
260,267,0,1,114620766000,97114246000,150230146000,24683183000,20913215000,0,0,0,0,0
261,268,0,1,115136217000,97481657000,150860936000,24794184000,20992336000,0,0,0,0,0
262,269,0,1,106658159000,90189012000,139678276000,22968464000,19421890000,0,0,0,0,0
263,270,0,1,96996349000,81071179000,126415299000,20887826000,17458396000,0,0,0,0,0
264,271,0,1,75011594000,60212154000,96188579000,16153486000,12966478000,0,0,0,0,0
265,272,0,1,106185719000,89212574000,138687744000,22866725000,19211617000,0,0,0,0,0
266,273,0,1,225808215000,181328057000,289601820000,48627014000,39048367000,0,0,0,0,0
267,274,0,1,102061572000,94054872000,138790790000,21978605000,20254390000,0,0,0,0,0
268,275,0,1,105571551000,90134124000,138814671000,22734466000,19410070000,0,0,0,0,0
269,276,0,1,106684134000,90443837000,139862762000,22974057000,19476766000,0,0,0,0,0
