cut_edge_id,transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_nodal_sign,target_nodal_sign,source_eigenfunction_x1e12,target_eigenfunction_x1e12,undirected_stationary_flux_x1e12,source_carrier_atom_mask,target_carrier_atom_mask
265,2014,16,48,1,1,-1,875968500980,-894848865438,17875726,2,6146
266,2015,16,49,1,1,-1,875968500980,-894848865438,17875726,2,6146
267,2016,16,50,1,1,-1,875968500980,-894848865438,17875726,2,6146
268,2017,16,51,1,1,-1,875968500980,-894848865438,17875726,2,6146
269,2018,16,52,1,1,-1,875968500980,-894848865438,17875726,2,6146
270,2019,16,53,1,1,-1,875968500980,-894848865438,17875726,2,6146
271,2020,16,54,1,1,-1,875968500980,-894848865438,17875726,2,6146
272,2021,16,55,1,1,-1,875968500980,-894848865438,17875726,2,6146
273,2022,16,56,1,1,-1,875968500980,-894848865438,17875726,2,6146
274,2023,16,57,1,1,-1,875968500980,-894848865438,17875726,2,6146
275,2065,17,48,1,1,-1,875968500980,-894848865438,17875726,2,6146
276,2066,17,49,1,1,-1,875968500980,-894848865438,17875726,2,6146
277,2067,17,50,1,1,-1,875968500980,-894848865438,17875726,2,6146
278,2068,17,51,1,1,-1,875968500980,-894848865438,17875726,2,6146
279,2069,17,52,1,1,-1,875968500980,-894848865438,17875726,2,6146
280,2070,17,53,1,1,-1,875968500980,-894848865438,17875726,2,6146
281,2071,17,54,1,1,-1,875968500980,-894848865438,17875726,2,6146
282,2072,17,55,1,1,-1,875968500980,-894848865438,17875726,2,6146
283,2073,17,56,1,1,-1,875968500980,-894848865438,17875726,2,6146
284,2074,17,57,1,1,-1,875968500980,-894848865438,17875726,2,6146
285,2118,18,78,1,1,-1,1062963295150,-860433468893,19637572,16,6160
286,2119,18,79,1,1,-1,1062963295150,-860433468893,19637572,16,6160
287,2120,18,80,1,1,-1,1062963295150,-860433468893,19637572,16,6160
288,2121,18,81,1,1,-1,1062963295150,-860433468893,19637572,16,6160
289,2122,18,82,1,1,-1,1062963295150,-860433468893,19637572,16,6160
290,2123,18,83,1,1,-1,1062963295150,-860433468893,19637572,16,6160
291,2124,18,84,1,1,-1,1062963295150,-860433468893,19637572,16,6160
292,2171,19,78,1,1,-1,1062963295150,-860433468893,19637572,16,6160
293,2172,19,79,1,1,-1,1062963295150,-860433468893,19637572,16,6160
294,2173,19,80,1,1,-1,1062963295150,-860433468893,19637572,16,6160
295,2174,19,81,1,1,-1,1062963295150,-860433468893,19637572,16,6160
296,2175,19,82,1,1,-1,1062963295150,-860433468893,19637572,16,6160
297,2176,19,83,1,1,-1,1062963295150,-860433468893,19637572,16,6160
298,2177,19,84,1,1,-1,1062963295150,-860433468893,19637572,16,6160
299,2223,20,78,1,1,-1,1062963295150,-860433468893,19637572,16,6160
