triple_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_atom_id,middle_atom_id,right_atom_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_path_first_rule_id,left_path_second_rule_id,left_path_third_rule_id,right_path_first_rule_id,right_path_second_rule_id,right_path_third_rule_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_id
143,3,5,5,11,19,19,3,5,5,23,35,23,35,23,35,1,1,62,5,132,254016,341376,216,0,0,51
144,4,0,0,12,1,1,0,0,4,24,24,0,0,24,24,1,1,47,5,117,36960,84096,216,2,2,4
145,4,0,1,12,1,4,0,1,4,24,25,1,1,24,25,1,1,47,5,131,32880,84864,216,2,2,9
146,4,0,2,12,1,7,0,2,4,24,26,2,2,24,26,1,1,63,6,165,77424,135552,216,2,2,13
147,4,0,3,12,1,11,0,3,4,24,27,3,3,24,27,1,1,63,6,147,24048,62464,216,2,2,16
148,4,0,4,12,1,12,0,4,4,24,28,4,4,24,28,1,1,47,5,117,28848,71424,216,1,1,18
149,4,0,5,12,1,19,0,4,5,24,29,4,5,24,29,1,1,63,6,173,147888,217216,216,1,1,19
150,4,1,0,12,4,1,0,1,4,25,24,6,6,24,25,1,1,47,5,131,32880,84864,216,3,3,9
151,4,1,1,12,4,4,1,1,4,25,25,7,7,25,25,1,1,47,5,121,28800,85632,216,2,2,24
152,4,1,2,12,4,7,1,2,4,25,26,8,8,25,26,1,1,63,6,169,73344,136320,216,2,2,28
153,4,1,3,12,4,11,1,3,4,25,27,9,9,25,27,1,1,63,6,151,19968,63232,216,2,2,31
154,4,1,4,12,4,12,1,4,4,25,28,10,10,25,28,1,1,47,5,121,24768,72192,216,1,1,33
155,4,1,5,12,4,19,1,4,5,25,29,10,11,25,29,1,1,63,6,177,143808,217984,216,1,1,34
156,4,2,0,12,7,1,0,2,4,26,24,12,12,24,26,1,1,63,6,165,77424,135552,216,3,3,13
157,4,2,1,12,7,4,1,2,4,26,25,13,13,25,26,1,1,63,6,169,73344,136320,216,3,3,28
158,4,2,2,12,7,7,2,2,4,26,26,14,14,26,26,1,1,63,6,155,117888,187008,216,2,2,38
159,4,2,3,12,7,11,2,3,4,26,27,15,15,26,27,1,1,63,6,167,64512,113920,216,2,2,41
160,4,2,4,12,7,12,2,4,4,26,28,16,16,26,28,1,1,63,6,155,69312,122880,216,1,1,43
161,4,2,5,12,7,19,2,4,5,26,29,16,17,26,29,1,1,63,6,185,188352,268672,216,1,1,44
162,4,3,0,12,11,1,0,3,4,27,24,18,18,24,27,1,1,63,6,147,24048,62464,216,3,3,16
163,4,3,1,12,11,4,1,3,4,27,25,19,19,25,27,1,1,63,6,151,19968,63232,216,3,3,31
