orbit_id,size,representative,member_a,member_b,fixed,nonzero
433,2,1186,1186,1218,False,True
434,2,1188,1188,1728,False,True
435,2,1191,1191,1746,False,True
436,2,1200,1200,1217,False,True
437,2,1203,1203,1235,False,True
438,2,1205,1205,1745,False,True
439,2,1206,1206,1731,False,True
440,2,1220,1220,1696,False,True
441,2,1223,1223,1714,False,True
442,2,1237,1237,1713,False,True
443,2,1238,1238,1699,False,True
444,1,1248,1248,1248,True,True
445,2,1251,1251,1266,False,True
446,2,1253,1253,1776,False,True
447,2,1254,1254,1762,False,True
448,1,1265,1265,1265,True,True
449,2,1268,1268,1761,False,True
450,2,1271,1271,1779,False,True
451,1,1280,1280,1280,True,True
452,2,1283,1283,1298,False,True
453,2,1285,1285,1808,False,True
454,2,1286,1286,1794,False,True
455,1,1297,1297,1297,True,True
456,2,1300,1300,1793,False,True
457,2,1303,1303,1811,False,True
458,2,1313,1313,1360,False,True
459,2,1314,1314,1346,False,True
460,2,1316,1316,1856,False,True
461,2,1319,1319,1874,False,True
462,2,1328,1328,1345,False,True
463,2,1331,1331,1363,False,True
464,2,1333,1333,1873,False,True
465,2,1334,1334,1859,False,True
466,2,1348,1348,1824,False,True
467,2,1351,1351,1842,False,True
468,2,1365,1365,1841,False,True
469,2,1366,1366,1827,False,True
470,1,1376,1376,1376,True,True
471,2,1379,1379,1394,False,True
472,2,1381,1381,1904,False,True
473,2,1382,1382,1890,False,True
474,1,1393,1393,1393,True,True
475,2,1396,1396,1889,False,True
476,2,1399,1399,1907,False,True
477,2,1409,1409,1424,False,True
478,1,1410,1410,1410,True,True
479,2,1412,1412,1920,False,True
480,2,1415,1415,1938,False,True
481,1,1427,1427,1427,True,True
482,2,1429,1429,1937,False,True
483,2,1430,1430,1923,False,True
484,2,1440,1440,1472,False,True
485,2,1443,1443,1490,False,True
486,2,1445,1445,2000,False,True
487,2,1446,1446,1986,False,True
488,2,1457,1457,1489,False,True
489,2,1458,1458,1475,False,True
490,2,1460,1460,1985,False,True
491,2,1463,1463,2003,False,True
492,2,1477,1477,1968,False,True
493,2,1478,1478,1954,False,True
494,2,1492,1492,1953,False,True
495,2,1495,1495,1971,False,True
496,2,1505,1505,1520,False,True
497,1,1506,1506,1506,True,True
498,2,1508,1508,2016,False,True
499,2,1511,1511,2034,False,True
500,1,1523,1523,1523,True,True
501,2,1525,1525,2033,False,True
502,2,1526,1526,2019,False,True
503,2,1541,1541,1556,False,True
504,1,1542,1542,1542,True,True
505,1,1559,1559,1559,True,True
506,2,1572,1572,1604,False,True
507,2,1575,1575,1622,False,True
508,2,1589,1589,1621,False,True
509,2,1590,1590,1607,False,True
510,2,1637,1637,1652,False,True
511,1,1638,1638,1638,True,True
512,1,1655,1655,1655,True,True
513,1,1668,1668,1668,True,True
514,2,1671,1671,1686,False,True
515,1,1685,1685,1685,True,True
516,2,1701,1701,1748,False,True
517,2,1702,1702,1734,False,True
518,2,1716,1716,1733,False,True
519,2,1719,1719,1751,False,True
520,1,1764,1764,1764,True,True
521,2,1767,1767,1782,False,True
522,1,1781,1781,1781,True,True
523,1,1796,1796,1796,True,True
524,2,1799,1799,1814,False,True
525,1,1813,1813,1813,True,True
526,2,1829,1829,1876,False,True
527,2,1830,1830,1862,False,True
528,2,1844,1844,1861,False,True
529,2,1847,1847,1879,False,True
530,1,1892,1892,1892,True,True
531,2,1895,1895,1910,False,True
532,1,1909,1909,1909,True,True
533,2,1925,1925,1940,False,True
534,1,1926,1926,1926,True,True
535,1,1943,1943,1943,True,True
536,2,1956,1956,1988,False,True
537,2,1959,1959,2006,False,True
538,2,1973,1973,2005,False,True
539,2,1974,1974,1991,False,True
540,2,2021,2021,2036,False,True
541,1,2022,2022,2022,True,True
542,1,2039,2039,2039,True,True
