transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
303,78,79,1,0,1,0,0,1,0,0,170677590,200000000000,166666666666,426693975,512032770
304,80,81,1,0,1,1,0,1,0,0,170677590,125000000000,166666666667,682710360,512032770
305,80,83,1,0,1,0,0,1,0,0,170677590,125000000000,100000000000,682710360,853387950
306,81,82,1,0,1,1,0,1,0,0,170677590,166666666666,142857142857,512032770,597371565
307,81,103,1,0,1,1,1,1,0,0,170677590,166666666666,333333333334,512032770,256016385
308,82,83,1,0,1,0,0,1,0,0,170677590,142857142857,100000000000,597371565,853387950
309,86,90,1,0,1,0,0,1,0,0,170677590,500000000000,250000000000,170677590,341355180
310,86,850,1,0,1,0,0,1,0,0,170677590,500000000000,250000000000,170677590,341355180
311,87,88,1,0,1,0,0,1,0,0,170677590,333333333334,250000000000,256016385,341355180
312,87,545,1,0,1,0,0,1,0,0,170677590,333333333333,22727272727,256016385,3754906981
313,87,851,1,0,1,0,0,1,0,0,170677590,333333333333,142857142857,256016385,597371565
314,88,89,1,0,1,0,0,1,0,0,170677590,250000000000,250000000000,341355180,341355180
315,88,557,1,0,1,0,0,1,0,0,170677590,250000000000,16949152543,341355180,5034988906
316,88,852,1,0,1,0,0,1,0,0,170677590,250000000000,100000000000,341355180,853387950
317,89,90,1,0,1,0,0,1,0,0,170677590,250000000000,250000000000,341355180,341355180
318,89,573,1,0,1,0,0,1,0,0,170677590,250000000000,12987012987,341355180,6571087216
319,89,853,1,0,1,0,0,1,0,0,170677590,250000000000,100000000000,341355180,853387950
320,90,614,1,0,1,0,0,1,0,0,170677590,250000000000,14084507042,341355180,6059054446
321,90,854,1,0,1,0,0,1,0,0,170677590,250000000000,100000000000,341355180,853387950
322,91,96,1,0,1,0,0,1,0,0,170677590,333333333333,250000000000,256016385,341355180
323,91,723,1,0,1,0,0,1,0,0,170677590,333333333333,200000000000,256016385,426693975
324,92,97,1,0,1,0,0,1,0,0,170677590,333333333333,250000000000,256016385,341355180
325,92,724,1,0,1,0,0,1,0,0,170677590,333333333333,333333333334,256016385,256016385
326,93,98,1,0,1,1,1,0,0,0,170677590,333333333333,250000000000,256016385,341355180
327,93,728,1,0,1,1,1,0,0,0,170677590,333333333333,166666666667,256016385,512032770
328,94,99,1,0,1,1,1,1,0,0,170677590,333333333333,250000000000,256016385,341355180
329,94,732,1,0,1,1,1,1,0,0,170677590,333333333333,166666666667,256016385,512032770
330,95,735,1,0,1,1,1,0,0,0,170677590,500000000000,200000000000,170677590,426693975
331,96,100,1,0,1,0,0,1,0,0,170677590,250000000000,333333333333,341355180,256016385
332,96,755,1,0,1,0,0,1,0,0,170677590,250000000000,166666666667,341355180,512032770
333,97,101,1,0,1,0,0,1,0,0,170677590,250000000000,333333333333,341355180,256016385
334,97,756,1,0,1,0,0,1,0,0,170677590,250000000000,250000000000,341355180,341355180
335,98,102,1,0,1,1,1,0,0,0,170677590,250000000000,333333333333,341355180,256016385
336,98,760,1,0,1,1,1,0,0,0,170677590,250000000000,142857142858,341355180,597371565
337,99,103,1,0,1,1,1,1,0,0,170677590,250000000000,333333333333,341355180,256016385
338,99,764,1,0,1,1,1,1,0,0,170677590,250000000000,142857142858,341355180,597371565
339,100,779,1,0,1,0,0,1,0,0,170677590,333333333333,200000000000,256016385,426693975
340,101,780,1,0,1,0,0,1,0,0,170677590,333333333333,333333333334,256016385,256016385
341,102,784,1,0,1,1,1,0,0,0,170677590,333333333333,166666666667,256016385,512032770
342,103,788,1,0,1,1,1,1,0,0,170677590,333333333333,142857142858,256016385,597371565
343,104,105,1,0,1,0,0,1,0,0,170677590,333333333334,250000000000,256016385,341355180
344,104,135,1,0,1,0,0,1,0,0,170677590,333333333333,142857142857,256016385,597371565
345,104,249,1,0,1,0,0,1,0,0,170677590,333333333333,22222222222,256016385,3840245776
346,105,106,1,0,1,0,0,1,0,0,170677590,250000000000,250000000000,341355180,341355180
347,105,136,1,0,1,0,0,1,0,0,170677590,250000000000,100000000000,341355180,853387950
348,105,261,1,0,1,0,0,1,0,0,170677590,250000000000,16666666667,341355180,5120327701
349,106,107,1,0,1,0,0,1,0,0,170677590,250000000000,333333333334,341355180,256016385
350,106,138,1,0,1,0,0,1,0,0,170677590,250000000000,62500000000,341355180,1365420720
351,106,277,1,0,1,0,0,1,0,0,170677590,250000000000,12820512820,341355180,6656426011
352,107,139,1,0,1,0,0,1,0,0,170677590,333333333333,100000000000,256016385,853387950
353,107,318,1,0,1,0,0,1,0,0,170677590,333333333333,13333333334,256016385,6400409626
354,108,109,1,0,1,0,0,1,0,0,170677590,1000000000000,250000000000,85338795,341355180
355,109,110,1,0,1,0,0,1,0,0,170677590,250000000000,333333333334,341355180,256016385
