basis_id,component_id,prob_num,prob_den,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009,prob_sha256,active_owner_flag,dominant_component_flag,positive_flag
14,2,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
15,0,28668578477001799036678472347797844212999708635117437908459420961232937923458407318081690234206308397167825923140660452598176264154348504327640180948677066273180675381273992506079904435522911106625425117063757382804945300464989618831968933533778756335481,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,254832266,253126048,710161881,867253560,bf8c1feecc018ad2ab5f42e3ddbc9f9fbe8d55055145e0a3a8d271db155ef864,0,1,1
15,1,167879477664616021425272413157909528561080282654970751496900826592986404208243463617581261865300776951642233883135355726749653838936975717130462934672704218569861677258598584393560483729465561912230522942576327675592354553698954770131491104488640,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,246,254,165611253,253126048,897463418,867253560,85221592cce4bcd1b909a0431e917127785b998ec823e77b3d3249a33abf368e,0,0,1
15,2,41076100857244931992857753690849609265719198430273552471121546094026158386777822845160644310460499370213993730640042984956618751483117438128898285390674951312083131814173592329209741854926348111247057279587602751484572704920242217672782039513113130010,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,832682536,253126048,259628270,867253560,04596cefd261e0be192b3dd293dc5438110a72887ad7b30c72755ce42f306930,0,0,1
16,0,28675108810252687850376321449295401998384959685563917839015585104558155075240808980662486741111514616222718924025822992241139278061859320394122766023101838943061518451603204019847847753867608670415963274400719539304707595403046455013686389437964912028431,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,292863549,253126048,31017329,867253560,d298a671ed7bd1c58dbf3ebf4adcf905b0e8b2ef1991cb51711cf43cbba5ef85,0,1,1
16,1,141189883676372957399176611192362797114991212120691457957193215675911871049704481933120246096847561588513595570161923850241441113024656243600180765431913049601511951869902275667860791441573806271381911413280541342899574836089082733369501974939520,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,246,254,482664168,253126048,879694663,867253560,629a86f71c21ccf84ab80e0a1ac9112283c00d6b7ade04de615abfe3facdc1b1,0,0,1
16,2,34545794295950106538072678289093789427199594072864156194250942476419923678909318803345821866270048768536355974115816315425481352185027283965786741248071522222409029834687467257575149209921072212464540791236975547508610459643123645827362897316086986180,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,477598338,253126048,956541577,867253560,b7db7922a9c21f001311e3c26c29fab6cbe3771bdf8bdc5f60781058d1e254d2,0,0,1
17,0,53904848864728134231269392755436161898864879344956650220847644107417474101705768314754331305323481885700952894750823454019647753232966416722754366783944199974475304004857457793952012882556069612651720155996451059319108399089935791997454528581650263818948,86128964237215564899862054580283320940524869183883982347703882012683372024494768047510943488294092285516450605540603136155465828966456382108234389093592027691590931248849530071023095712814963552606702259721603784398272646286793244245789457114348921862393,254,254,560170479,759378144,175637631,601760662,8c570324db36d381bd47993b47cf6bacc7afcb8a2ce28b227b38b3b839ad3409,0,1,1
17,1,8548330149192235885325558773885080693060410663329437118425710898440075510637290337199056830295204364823837572885128347069948179514509893870279253238376732522669924885374743457286126287991664511901296494843265165385701757855251359754106463400287022942497,57419309491477043266574703053522213960349912789255988231802588008455581349663178698340628992196061523677633737027068757436977219310970921405489592729061351794393954165899686714015397141876642368404468173147735856265515097524528829497192971409565947908262,253,254,138599040,506252096,933544663,734507111,93c0698dccebc4c66f0ea5665e75f73bb986b745ac685f0656e72548321ce014,0,0,1
17,2,38803240297398153681208647328039076004138747687866352898435343115211569313666128453916053875055607705159482702924174323061791612923450249160122284904165457866221479831859914182283786796542794344206074722920509954001223220827960825234350466864536247259399,172257928474431129799724109160566641881049738367767964695407764025366744048989536095021886976588184571032901211081206272310931657932912764216468778187184055383181862497699060142046191425629927105213404519443207568796545292573586488491578914228697843724786,254,255,982618217,518756281,51612091,203521315,bb7bc225e59c0a45f6f0d8385dd146b8fa17b22a33272c214937226affa82e97,0,0,1
18,0,21799259743107038267732190380916799329922542931443015778976368049800296495697263064841909611777717514811048633873250170187526186586599575255343160465432012738152255289782119116373475955881562291537386851863475174231732650595575940772341351460989451379437,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,395708191,253126048,47052544,867253560,e6d2ee6cd06f4b625911c75022ab29a845f73ce947d682e52f9123028ff03fff,0,1,1
18,1,5645477894182510790030222417426465835605204740564807576834426159832114254724651100198077839924959061560053001553844244545320872648856114123329612054897328835829695631769151820457007831839821864629702567338435405715478174826871860326859138390401759011451,57419309491477043266574703053522213960349912789255988231802588008455581349663178698340628992196061523677633737027068757436977219310970921405489592729061351794393954165899686714015397141876642368404468173147735856265515097524528829497192971409565947908262,253,254,503225437,506252096,51392601,734507111,e5d445428f8df0ba0221110623d35e277169f3b4331ada5b2f05ea5741c31f28,0,0,1
18,2,8175312111080455941080099874262149464899622185805149097015425749022874103544001468458731928715667432495483467726724172516603973488915656771473659743299997482259747954566296660811437398273695920699991902082350102086571621506505087625651130097185286137937,57419309491477043266574703053522213960349912789255988231802588008455581349663178698340628992196061523677633737027068757436977219310970921405489592729061351794393954165899686714015397141876642368404468173147735856265515097524528829497192971409565947908262,253,254,211610284,506252096,589009422,734507111,07f8a350ae98f6ecde32edeb8070f1358e8209618f6c3ea09a92a8d4620403ee,0,0,1
19,0,1,1,1,1,1,1,1,1,253d950f11ebdbeb4c2d54c57803deb69869b832a2e03010620d462a85d15290,1,1,1
19,1,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
19,2,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
20,0,1,1,1,1,1,1,1,1,253d950f11ebdbeb4c2d54c57803deb69869b832a2e03010620d462a85d15290,1,1,1
20,1,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
20,2,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
21,0,1,1,1,1,1,1,1,1,253d950f11ebdbeb4c2d54c57803deb69869b832a2e03010620d462a85d15290,1,1,1
21,1,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
21,2,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
22,0,28670597787237350845425695928532913027782597304779602281466463209763753275047325677143840543889946096481140097683938870251692543602143489218632351652381581322100399509385824224264899654450601069969805465574429091951608996953476001532914225479026105324981,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,944229993,253126048,707651061,867253560,f4dc38c671286c1495efee54eca5c354df2f994d9939146ec839af7186e95b3b,0,1,1
22,1,159626519009581701763586361215588385918078903968281827563400631256923744475029496733636374259386747922017793377488342954881409952537149805616681554329927064754020738358653150562100657588988555594526588109601319977343481196086552423066050586981440,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,246,254,552593215,253126048,540390174,867253560,58559552cfe76b1548418daefc1badadcf37dfa03012d1ec36d6826ee9c5356b,0,0,1
22,2,39056798874651778279953834641832736803973171769487866153003231063406142860519196996977218571710405970928848811802130978453111171932018946962639095467540245169512819543280774089648354387062525243873026472850726579828574465307217129129837159706281647710,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,756302854,253126048,619212334,867253560,1eefb5d730035c52ca2577de0bf96874232846c86a59b99b0e7feffdf9ecde6a,0,0,1
23,0,28662246973523173265358428117449884731001820498801264027478288391608981814837882950065524902735496688972003138183835099272762499658884425059523669807328426278761879772163650089267692254999748664873951864872144505582382156530663416196327907591088936502031,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,204511196,253126048,168207685,867253560,763add6bf26596736b7afceaffa63b5cd51f7107b31fb906b4bf99109c225235,0,1,1
