product_row_id,left_support_row,right_support_row,left_relation_id,right_relation_id,target_relation_id,target_support_row,inside_support_flag,coefficient
560,34,43,938,960,890,13,1,1
561,48,37,969,943,890,13,1,1
562,47,37,965,943,890,13,1,1
563,38,50,945,975,890,13,1,1
564,46,37,964,943,890,13,1,1
565,33,44,935,961,890,13,1,1
566,33,30,935,930,890,13,1,1
567,33,43,935,960,890,13,1,1
568,51,29,977,928,890,13,1,1
569,52,36,978,941,890,13,1,1
570,39,37,951,943,890,13,1,1
571,46,36,964,941,890,13,1,1
572,18,12,907,886,890,13,1,2
573,21,17,910,897,890,13,1,1
574,20,13,909,890,890,13,1,1
575,18,15,907,895,890,13,1,2
576,12,25,886,921,890,13,1,2
577,40,42,954,956,890,13,1,1
578,53,25,981,921,890,13,1,1
579,12,16,886,896,890,13,1,1
580,42,40,956,954,890,13,1,1
581,25,12,921,886,890,13,1,2
582,20,12,909,886,890,13,1,1
583,25,53,921,981,890,13,1,1
584,17,21,897,910,890,13,1,1
585,12,18,886,907,890,13,1,2
586,15,18,895,907,890,13,1,2
587,13,16,890,896,890,13,1,1
588,27,12,926,886,890,13,1,1
589,25,13,921,890,890,13,1,2
590,26,17,923,897,890,13,1,1
591,54,25,982,921,890,13,1,1
592,13,23,890,916,890,13,1,1
593,13,18,890,907,890,13,1,2
594,40,26,954,923,890,13,1,1
595,46,29,964,928,890,13,1,2
596,47,45,965,962,890,13,1,1
597,38,49,945,973,890,13,1,1
598,48,29,969,928,890,13,1,1
599,29,38,928,945,890,13,1,2
600,45,47,962,965,890,13,1,1
601,44,46,961,964,890,13,1,2
602,43,33,960,935,890,13,1,1
603,27,13,926,890,890,13,1,1
604,25,54,921,982,890,13,1,1
605,26,40,923,954,890,13,1,1
606,18,13,907,890,890,13,1,2
607,12,23,886,916,890,13,1,1
608,17,26,897,923,890,13,1,1
609,13,25,890,921,890,13,1,2
610,47,30,965,930,890,13,1,1
611,38,29,945,928,890,13,1,2
612,48,43,969,960,890,13,1,1
613,46,44,964,961,890,13,1,2
614,30,47,930,965,890,13,1,1
615,29,46,928,964,890,13,1,2
616,29,33,928,935,890,13,1,1
617,31,38,932,945,890,13,1,1
618,38,31,945,932,890,13,1,1
619,39,43,951,960,890,13,1,1
620,38,43,945,960,890,13,1,2
621,41,45,955,962,890,13,1,1
622,29,34,928,938,890,13,1,1
623,43,46,960,964,890,13,1,2
624,45,41,962,955,890,13,1,1
625,39,29,951,928,890,13,1,1
626,52,30,978,930,890,13,1,1
627,46,43,964,960,890,13,1,2
628,43,34,960,938,890,13,1,1
629,49,38,973,945,890,13,1,1
630,30,52,930,978,890,13,1,1
631,43,38,960,945,890,13,1,2
632,20,54,909,982,890,13,1,1
633,21,13,910,890,890,13,1,1
634,18,40,907,954,890,13,1,1
635,53,23,981,916,890,13,1,1
636,40,25,954,921,890,13,1,1
637,12,26,886,923,890,13,1,2
638,27,53,926,981,890,13,1,1
639,26,12,923,886,890,13,1,2
640,25,40,921,954,890,13,1,1
641,54,16,982,896,890,13,1,1
642,40,18,954,907,890,13,1,1
643,13,21,890,910,890,13,1,1
644,42,13,956,890,890,13,1,1
645,25,17,921,897,890,13,1,1
646,20,15,909,895,890,13,1,1
647,17,18,897,907,890,13,1,1
648,15,23,895,916,890,13,1,1
649,48,44,969,961,890,13,1,1
650,47,43,965,960,890,13,1,2
651,46,30,964,930,890,13,1,1
652,44,34,961,938,890,13,1,1
653,29,52,928,978,890,13,1,1
