combo_id,feature_id_0,feature_id_1,feature_id_2,feature_id_3,feature_id_4,projection_rank,kernel_dimension,unique_exact_column_count,unique_projective_column_count,duplicate_projective_class_count,total_hit_count,total_miss_count,total_multi_count,perfect_generator_count,worst_generator_miss_count,best_flag,selected_hcgrade_flag
215,5,10,18,20,23,33,23,36,36,12,129,375,90,0,56,0,0
216,5,10,19,20,22,33,23,36,36,12,111,393,59,0,54,0,0
217,5,10,19,20,23,33,23,36,36,12,109,395,68,0,56,0,0
218,5,11,18,19,22,33,23,36,36,12,115,389,70,0,56,0,0
219,5,11,18,19,23,33,23,36,36,12,170,334,112,0,55,0,0
220,5,11,18,20,22,33,23,36,36,12,113,391,62,0,56,0,0
221,5,11,18,20,23,33,23,36,36,12,154,350,104,0,54,0,0
222,5,11,19,20,22,33,23,36,36,12,108,396,52,0,56,0,0
223,5,11,19,20,23,33,23,36,36,12,124,380,72,0,56,0,0
224,7,10,18,19,20,33,23,36,36,12,102,402,49,0,54,0,0
225,7,10,18,19,21,33,23,36,36,12,114,390,58,0,54,0,0
226,7,10,18,20,21,33,23,36,36,12,110,394,51,0,54,0,0
227,7,10,19,20,21,33,23,36,36,12,103,401,39,0,52,0,0
228,7,11,18,19,20,33,23,36,36,12,105,399,44,0,52,0,0
229,7,11,18,19,21,33,23,36,36,12,115,389,56,0,52,0,0
230,7,11,18,20,21,33,23,36,36,12,115,389,52,0,52,0,0
231,7,11,19,20,21,33,23,36,36,12,108,396,40,0,52,0,0
232,9,10,18,19,20,33,23,36,36,12,150,354,94,0,53,0,0
233,9,10,18,19,21,33,23,36,36,12,165,339,109,0,53,0,0
234,9,10,18,20,21,33,23,36,36,12,146,358,92,0,54,0,0
235,9,10,19,20,21,33,23,36,36,12,128,376,71,0,54,0,0
236,9,11,18,19,20,33,23,36,36,12,155,349,90,0,52,0,0
237,9,11,18,19,21,33,23,36,36,12,187,317,117,0,51,0,0
238,9,11,18,20,21,33,23,36,36,12,171,333,105,0,51,0,0
239,9,11,19,20,21,33,23,36,36,12,141,363,76,0,53,0,0
240,10,18,19,20,22,33,23,36,36,12,110,394,52,0,54,0,0
241,10,18,19,20,23,33,23,36,36,12,135,369,74,0,53,0,0
242,10,18,19,21,22,33,23,36,36,12,141,363,82,0,54,0,0
243,10,18,19,21,23,33,23,36,36,12,173,331,107,0,50,0,0
244,10,18,20,21,22,33,23,36,36,12,125,379,60,0,54,0,0
245,10,18,20,21,23,33,23,36,36,12,139,365,82,0,54,0,0
246,10,19,20,21,22,33,23,36,36,12,122,382,55,0,52,0,0
247,10,19,20,21,23,33,23,36,36,12,121,383,64,0,54,0,0
248,11,18,19,20,22,33,23,36,36,12,114,390,50,0,53,0,0
249,11,18,19,20,23,33,23,36,36,12,145,359,80,0,52,0,0
250,11,18,19,21,22,33,23,36,36,12,138,366,72,0,53,0,0
251,11,18,19,21,23,33,23,36,36,12,190,314,121,0,50,1,0
252,11,18,20,21,22,33,23,36,36,12,132,372,62,0,53,0,0
253,11,18,20,21,23,33,23,36,36,12,159,345,96,0,51,0,0
254,11,19,20,21,22,33,23,36,36,12,124,380,56,0,53,0,0
255,11,19,20,21,23,33,23,36,36,12,137,367,74,0,53,0,0
