addr,positive_section_count,reverse_section_count,total_section_count,signed_section_count,positive_coeff_sum,reverse_coeff_sum,total_coeff_sum,signed_coeff_sum,positive_coeff_square_sum,reverse_coeff_square_sum,total_coeff_square_sum,signed_coeff_square_sum,projection_count_flag,projection_coeff_flag,projection_coeff_square_flag
216,1837,233553,235390,-231716,3976,446268,450244,-442292,11978,1539392,1551370,-1527414,1,1,1
217,2545,234062,236607,-231517,5892,446772,452664,-440880,18518,1539168,1557686,-1520650,1,1,1
218,3243,234591,237834,-231348,7808,447240,455048,-439432,25162,1538668,1563830,-1513506,1,1,1
219,4303,235480,239783,-231177,9700,448752,458452,-439052,29982,1542056,1572038,-1512074,1,1,1
220,4970,235948,240918,-230978,11496,449172,460668,-437676,36016,1541578,1577594,-1505562,1,1,1
221,6068,236875,242943,-230807,13328,450600,463928,-437272,39932,1543894,1583826,-1503962,1,1,1
222,7170,237813,244983,-230643,15040,451992,467032,-436952,42076,1545178,1587254,-1503102,1,1,1
223,7787,238265,246052,-230478,16848,453552,470400,-436704,49468,1551536,1601004,-1502068,1,1,1
224,8433,238770,247203,-230337,18752,455184,473936,-436432,57084,1557992,1615076,-1500908,1,1,1
225,8896,239096,247992,-230200,20560,455640,476200,-435080,66408,1557084,1623492,-1490676,1,1,1
226,9348,239428,248776,-230080,22368,456024,478392,-433656,76224,1554976,1631200,-1478752,1,1,1
227,9384,239414,248798,-230030,24272,455454,479726,-431182,165612,1549654,1715266,-1384042,1,1,1
228,9530,239690,249220,-230160,26269,455366,481635,-429097,204545,1519954,1724499,-1315409,1,1,1
229,9638,239884,249522,-230246,28253,455030,483283,-426777,256061,1503336,1759397,-1247275,1,1,1
230,9774,240140,249914,-230366,30235,454900,485135,-424665,294969,1478614,1773583,-1183645,1,1,1
231,9872,240316,250188,-230444,32203,454536,486739,-422333,346445,1461948,1808393,-1115503,1,1,1
232,9923,240408,250331,-230485,34181,454062,488243,-419881,436421,1436426,1872847,-1000005,1,1,1
233,10501,241525,252026,-231024,36152,460480,496632,-424328,445672,1468128,1913800,-1022456,1,1,1
234,10535,241547,252082,-231012,37604,459986,497590,-422382,506276,1461418,1967694,-955142,1,1,1
235,10738,241933,252671,-231195,39475,460962,500437,-421487,527395,1434558,1961953,-907163,1,1,1
236,11077,242568,253645,-231491,41147,461908,503055,-420761,536707,1429160,1965867,-892453,1,1,1
237,11305,242987,254292,-231682,42843,462024,504867,-419181,553891,1418164,1972055,-864273,1,1,1
238,11534,243407,254941,-231873,44633,462106,506739,-417473,572591,1406182,1978773,-833591,1,1,1
239,11729,243742,255471,-232013,46459,463002,509461,-416543,593411,1400598,1994009,-807187,1,1,1
240,11773,243762,255535,-231989,48257,462384,510641,-414127,677569,1390820,2068389,-713251,1,1,1
241,12394,244966,257360,-232572,50112,464688,514800,-414576,684864,1364860,2049724,-679996,1,1,1
242,12608,245621,258229,-233013,51072,465464,516536,-414392,685892,1365270,2051162,-679378,1,1,1
243,13077,246705,259782,-233628,52432,467672,520104,-415240,690434,1368710,2059144,-678276,1,1,1
244,13281,247377,260658,-234096,53280,468368,521648,-415088,690018,1368366,2058384,-678348,1,1,1
245,13537,248097,261634,-234560,54560,469016,523576,-414456,696058,1365702,2061760,-669644,1,1,1
246,13773,248797,262570,-235024,55808,469632,525440,-413824,702042,1362982,2065024,-660940,1,1,1
247,14137,249779,263916,-235642,57024,471632,528656,-414608,706446,1366434,2072880,-659988,1,1,1
248,14249,250359,264608,-236110,57664,472184,529848,-414520,705470,1365818,2071288,-660348,1,1,1
249,14879,251923,266802,-237044,58800,476840,535640,-418040,706838,1386294,2093132,-679456,1,1,1
250,15049,252727,267776,-237678,58176,478680,536856,-420504,668706,1391506,2060212,-722800,1,1,1
251,15219,253519,268738,-238300,58608,480424,539032,-421816,665546,1396386,2061932,-730840,1,1,1
252,15256,253997,269253,-238741,58976,480768,539744,-421792,663640,1395374,2059014,-731734,1,1,1
253,15440,254615,270055,-239175,59904,481064,540968,-421160,668240,1390358,2058598,-722118,1,1,1
254,16041,256147,272188,-240106,60800,485240,546040,-424440,668334,1406242,2074576,-737908,1,1,1
255,16004,256563,272567,-240559,59696,485472,545168,-425776,628580,1404774,2033354,-776194,1,1,1
256,16136,257129,273265,-240993,60480,485624,546104,-425144,632588,1399166,2031754,-766578,1,1,1
257,16369,257977,274346,-241608,61232,487000,548232,-425768,634938,1398398,2033336,-763460,1,1,1
258,16322,258371,274693,-242049,61248,487088,548336,-425840,631076,1396222,2027298,-765146,1,1,1
259,16426,258909,275335,-242483,61920,487128,549048,-425208,634420,1389950,2024370,-755530,1,1,1
260,16619,259717,276336,-243098,62560,488344,550904,-425784,636322,1388302,2024624,-751980,1,1,1
261,16621,260341,276962,-243720,62416,489512,551928,-427096,630450,1390470,2020920,-760020,1,1,1
262,16508,260669,277177,-244161,62208,489440,551648,-427232,625544,1387826,2013370,-762282,1,1,1
