state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,abs_drift_num_digits,abs_drift_den_digits,abs_drift_num_mod_1000000007,abs_drift_den_mod_1000000007,abs_drift_num_mod_1000000009,abs_drift_den_mod_1000000009,source_probability_num_digits,source_probability_den_digits,source_probability_num_mod_1000000007,source_probability_den_mod_1000000007,source_probability_num_mod_1000000009,source_probability_den_mod_1000000009,drift_sign,eventual_cone_flag,boundary_defect_flag
133,11,13,2,13,11,17,16,780066561,820214272,758250745,802900808,16,17,917946656,22356929,903047718,831908816,16,17,917946656,22356929,903047718,831908816,7,11,1259712,744139166,1259712,744139140,1,1,0
134,11,14,2,14,11,15,15,61284567,401684525,59355413,400241737,15,16,50546922,418529747,49525270,402659071,15,16,50546922,418529747,49525270,402659071,7,11,3359232,744139166,3359232,744139140,1,1,0
135,11,15,2,15,11,16,15,913302586,202246031,910574604,200322313,15,17,12637932,224706327,11485886,203545425,15,17,12637932,224706327,11485886,203545425,7,11,8957952,744139166,8957952,744139140,1,1,0
136,11,16,2,16,11,15,15,530599850,867041011,530118752,866720393,14,16,963942237,537451058,963780065,533924242,14,16,963942237,537451058,963780065,533924242,8,11,23887872,744139166,23887872,744139140,1,1,0
137,11,17,2,17,11,15,15,54823398,244694005,54484924,244480259,14,16,443259321,691634041,443169797,689282831,14,16,443259321,691634041,443169797,689282831,8,11,63700992,744139166,63700992,744139140,1,1,0
138,11,18,2,18,11,14,13,156880003,103724501,156850315,103706689,13,14,858639022,140969504,858633072,140773570,13,14,858639022,140969504,858633072,140773570,9,11,169869312,744139166,169869312,744139140,1,1,0
139,11,19,2,19,11,14,14,223087676,804966006,223046114,804942258,13,15,159610413,854626010,159604469,854364766,13,15,159610413,854626010,159604469,854364766,9,11,452984832,744139166,452984832,744139140,1,1,0
140,11,20,2,20,11,13,13,430455147,134161001,430447891,134157043,12,14,51786583,475771004,51785923,475727464,12,14,51786583,475771004,51785923,475727464,10,11,207959545,744139166,207959543,744139140,1,1,0
141,11,21,2,21,11,12,12,965630465,807591339,965628781,807590461,11,13,662517045,883504673,662516973,883494999,11,13,662517045,883504673,662516973,883494999,10,11,221225451,744139166,221225445,744139140,1,1,0
142,11,22,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,10,11,589934536,744139166,589934520,744139140,0,1,0
143,12,0,3,0,1,12,14,559738634,949652519,559736656,949629651,12,14,559738634,949652519,559736656,949629651,12,14,559738634,949652519,559736656,949629651,4,12,4096,951897840,4096,951897622,1,1,0
144,12,1,3,1,12,13,14,507632864,899305031,507621650,899259293,14,15,96144651,395830151,96100231,395555713,14,15,96144651,395830151,96100231,395555713,4,12,6144,951897840,6144,951897622,1,1,0
145,12,2,2,1,6,14,14,138615886,697915079,138566848,697777861,13,14,698160567,949652519,698156207,949629651,13,14,698160567,949652519,698156207,949629651,4,12,9216,951897840,9216,951897622,1,1,0
146,12,3,3,1,4,15,15,73559482,187490446,73186308,186667130,14,15,263343437,93745223,263259765,93333565,14,15,263343437,93745223,263259765,93333565,5,12,13824,951897840,13824,951897622,1,1,0
147,12,4,2,1,3,14,14,930991543,43267026,930886719,43077030,14,14,916569201,43267026,916527709,43077030,14,14,916569201,43267026,916527709,43077030,5,12,20736,951897840,20736,951897622,1,1,0
148,12,5,2,5,12,16,16,967689782,687414007,962975292,680004161,15,16,882300310,843707007,881486784,840002085,15,16,882300310,843707007,881486784,840002085,5,12,31104,951897840,31104,951897622,1,1,0
149,12,6,2,1,2,16,17,350910110,62242007,334944080,40012465,16,17,819789110,62242007,814937852,40012465,16,17,819789110,62242007,814937852,40012465,5,12,46656,951897840,46656,951897622,1,1,0
150,12,7,2,7,12,17,17,337815120,186726021,284561954,120037395,16,16,494722905,296681507,491135039,280009351,16,16,494722905,296681507,491135039,280009351,5,12,69984,951897840,69984,951897622,1,1,0
151,12,8,2,2,3,15,15,501578597,942698844,501357161,942446556,14,15,873112708,942698844,873059466,942446556,14,15,873112708,942698844,873059466,942446556,6,12,104976,951897840,104976,951897622,1,1,0
152,12,9,2,3,4,18,18,236861561,680534182,662993170,80336546,17,18,113230464,340267091,51370378,40168273,17,18,113230464,340267091,51370378,40168273,6,12,157464,951897840,157464,951897622,1,1,0
153,12,10,2,5,6,18,18,187247222,41602532,325333450,241009638,18,18,485911781,41602532,124492085,241009638,18,18,485911781,41602532,124492085,241009638,6,12,236196,951897840,236196,951897622,1,1,0
154,12,11,1,11,12,2,2,14,13,14,13,2,3,25,156,25,156,2,3,25,156,25,156,6,12,354294,951897840,354294,951897622,1,1,0
155,12,12,2,1,1,18,18,132720308,468738903,776408361,157097823,17,18,663981412,468738903,619310538,157097823,17,18,663981412,468738903,619310538,157097823,6,12,531441,951897840,531441,951897622,1,1,0
156,12,13,2,13,12,18,18,224032627,31201899,632192637,680757233,18,19,760922279,124807596,245489211,723028914,18,19,760922279,124807596,245489211,723028914,7,12,1417176,951897840,1417176,951897622,1,1,0
157,12,14,2,7,6,18,18,646676104,10400633,88443336,560252414,17,18,602417393,20801266,536297721,120504819,17,18,602417393,20801266,536297721,120504819,7,12,3779136,951897840,3779136,951897622,1,1,0
158,12,15,2,5,4,17,17,409020071,670133549,212276139,520084141,17,18,285412553,680534182,248683869,80336546,17,18,285412553,680534182,248683869,80336546,8,12,10077696,951897840,10077696,951897622,1,1,0
159,12,16,2,4,3,17,17,895620994,890044521,826301754,840028053,16,17,708894973,890044521,706264359,840028053,16,17,708894973,890044521,706264359,840028053,8,12,26873856,951897840,26873856,951897622,1,1,0
160,12,17,2,17,12,17,16,638483219,296681507,614108019,280009351,16,17,539404334,186726021,536379084,120037395,16,17,539404334,186726021,536379084,120037395,8,12,71663616,951897840,71663616,951897622,1,1,0
161,12,18,2,3,2,16,16,753664859,765560507,745114013,760003123,15,16,210648204,531121007,210218666,520006237,15,16,210648204,531121007,210218666,520006237,9,12,191102976,951897840,191102976,951897622,1,1,0
162,12,19,2,19,12,16,15,859941015,921853507,856948451,920001047,15,16,268025201,687414007,267787197,680004161,15,16,268025201,687414007,267787197,680004161,9,12,509607936,951897840,509607936,951897622,1,1,0
163,12,20,2,5,3,15,15,98664067,640617838,97619073,640000352,13,15,364301013,640617838,364285165,640000352,13,15,364301013,640617838,364285165,640000352,10,12,358954489,951897840,358954487,951897622,1,1,0
