subform_id,a_restricted_index,b_restricted_index,c_restricted_index,a_source_atom,b_source_atom,c_source_atom,rank,inertia_positive,inertia_negative,inertia_zero,det_sign,det_abs_digit_count,det_abs_mod_1000000007,det_abs_mod_1000000009,nondegenerate_flag,definite_spatial_flag,max_abs_det_flag
566,5,9,16,7,11,18,0,0,0,3,0,1,0,0,0,0,0
567,5,9,17,7,11,19,0,0,0,3,0,1,0,0,0,0,0
568,5,10,11,7,12,13,2,1,1,1,0,1,0,0,0,0,0
569,5,10,12,7,12,14,2,1,1,1,0,1,0,0,0,0,0
570,5,10,13,7,12,15,2,1,1,1,0,1,0,0,0,0,0
571,5,10,14,7,12,16,2,1,1,1,0,1,0,0,0,0,0
572,5,10,15,7,12,17,2,1,1,1,0,1,0,0,0,0,0
573,5,10,16,7,12,18,2,1,1,1,0,1,0,0,0,0,0
574,5,10,17,7,12,19,2,1,1,1,0,1,0,0,0,0,0
575,5,11,12,7,13,14,2,1,1,1,0,1,0,0,0,0,0
576,5,11,13,7,13,15,2,1,1,1,0,1,0,0,0,0,0
577,5,11,14,7,13,16,2,1,1,1,0,1,0,0,0,0,0
578,5,11,15,7,13,17,2,1,1,1,0,1,0,0,0,0,0
579,5,11,16,7,13,18,2,1,1,1,0,1,0,0,0,0,0
580,5,11,17,7,13,19,0,0,0,3,0,1,0,0,0,0,0
581,5,12,13,7,14,15,3,2,1,0,-1,30,448086160,445102503,1,0,0
582,5,12,14,7,14,16,2,1,1,1,0,1,0,0,0,0,0
583,5,12,15,7,14,17,3,2,1,0,-1,30,253586156,152940642,1,0,0
584,5,12,16,7,14,18,2,1,1,1,0,1,0,0,0,0,0
585,5,12,17,7,14,19,2,1,1,1,0,1,0,0,0,0,0
586,5,13,14,7,15,16,2,1,1,1,0,1,0,0,0,0,0
587,5,13,15,7,15,17,2,1,1,1,0,1,0,0,0,0,0
588,5,13,16,7,15,18,2,1,1,1,0,1,0,0,0,0,0
589,5,13,17,7,15,19,2,1,1,1,0,1,0,0,0,0,0
590,5,14,15,7,16,17,2,1,1,1,0,1,0,0,0,0,0
591,5,14,16,7,16,18,0,0,0,3,0,1,0,0,0,0,0
592,5,14,17,7,16,19,0,0,0,3,0,1,0,0,0,0,0
593,5,15,16,7,17,18,2,1,1,1,0,1,0,0,0,0,0
594,5,15,17,7,17,19,2,1,1,1,0,1,0,0,0,0,0
595,5,16,17,7,18,19,0,0,0,3,0,1,0,0,0,0,0
596,6,7,8,8,9,10,2,1,1,1,0,1,0,0,0,0,0
597,6,7,9,8,9,11,2,1,1,1,0,1,0,0,0,0,0
598,6,7,10,8,9,12,2,1,1,1,0,1,0,0,0,0,0
599,6,7,11,8,9,13,2,1,1,1,0,1,0,0,0,0,0
600,6,7,12,8,9,14,2,1,1,1,0,1,0,0,0,0,0
601,6,7,13,8,9,15,2,1,1,1,0,1,0,0,0,0,0
602,6,7,14,8,9,16,2,1,1,1,0,1,0,0,0,0,0
603,6,7,15,8,9,17,2,1,1,1,0,1,0,0,0,0,0
604,6,7,16,8,9,18,2,1,1,1,0,1,0,0,0,0,0
605,6,7,17,8,9,19,3,1,2,0,1,29,693702282,326166713,1,0,0
606,6,8,9,8,10,11,2,1,1,1,0,1,0,0,0,0,0
607,6,8,10,8,10,12,2,1,1,1,0,1,0,0,0,0,0
608,6,8,11,8,10,13,0,0,0,3,0,1,0,0,0,0,0
609,6,8,12,8,10,14,2,1,1,1,0,1,0,0,0,0,0
610,6,8,13,8,10,15,0,0,0,3,0,1,0,0,0,0,0
611,6,8,14,8,10,16,0,0,0,3,0,1,0,0,0,0,0
612,6,8,15,8,10,17,2,1,1,1,0,1,0,0,0,0,0
613,6,8,16,8,10,18,0,0,0,3,0,1,0,0,0,0,0
614,6,8,17,8,10,19,2,1,1,1,0,1,0,0,0,0,0
615,6,9,10,8,11,12,0,0,0,3,0,1,0,0,0,0,0
616,6,9,11,8,11,13,0,0,0,3,0,1,0,0,0,0,0
617,6,9,12,8,11,14,2,1,1,1,0,1,0,0,0,0,0
618,6,9,13,8,11,15,0,0,0,3,0,1,0,0,0,0,0
619,6,9,14,8,11,16,0,0,0,3,0,1,0,0,0,0,0
620,6,9,15,8,11,17,2,1,1,1,0,1,0,0,0,0,0
621,6,9,16,8,11,18,0,0,0,3,0,1,0,0,0,0,0
622,6,9,17,8,11,19,2,1,1,1,0,1,0,0,0,0,0
623,6,10,11,8,12,13,0,0,0,3,0,1,0,0,0,0,0
624,6,10,12,8,12,14,2,1,1,1,0,1,0,0,0,0,0
625,6,10,13,8,12,15,0,0,0,3,0,1,0,0,0,0,0
626,6,10,14,8,12,16,0,0,0,3,0,1,0,0,0,0,0
627,6,10,15,8,12,17,2,1,1,1,0,1,0,0,0,0,0
628,6,10,16,8,12,18,0,0,0,3,0,1,0,0,0,0,0
629,6,10,17,8,12,19,2,1,1,1,0,1,0,0,0,0,0
630,6,11,12,8,13,14,2,1,1,1,0,1,0,0,0,0,0
631,6,11,13,8,13,15,0,0,0,3,0,1,0,0,0,0,0
632,6,11,14,8,13,16,2,1,1,1,0,1,0,0,0,0,0
633,6,11,15,8,13,17,2,1,1,1,0,1,0,0,0,0,0
634,6,11,16,8,13,18,2,1,1,1,0,1,0,0,0,0,0
635,6,11,17,8,13,19,2,1,1,1,0,1,0,0,0,0,0
636,6,12,13,8,14,15,2,1,1,1,0,1,0,0,0,0,0
637,6,12,14,8,14,16,2,1,1,1,0,1,0,0,0,0,0
638,6,12,15,8,14,17,3,2,1,0,-1,29,560170388,272825284,1,0,0
639,6,12,16,8,14,18,2,1,1,1,0,1,0,0,0,0,0
640,6,12,17,8,14,19,3,2,1,0,-1,29,600728310,410936353,1,0,0
641,6,13,14,8,15,16,0,0,0,3,0,1,0,0,0,0,0
642,6,13,15,8,15,17,2,1,1,1,0,1,0,0,0,0,0
643,6,13,16,8,15,18,2,1,1,1,0,1,0,0,0,0,0
