poincare_point_id,automaton_state_id,repaired_recurrent_class_id,spectral_side_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,fiedler_value_x1e12,third_mode_value_x1e12,left_boundary_flag,right_boundary_flag,gate_word_flag
217,224,0,1,45760781000,19777741000,49851862000,12117402000,5237123000,0,0,0
218,225,0,1,65010825000,17021893000,67202323000,17214791000,4507377000,0,0,0
219,226,0,1,111895980000,29872449000,115814825000,29629925000,7910190000,0,0,0
220,227,0,1,62782551000,20049619000,65906266000,16624746000,5309116000,0,0,0
221,228,0,1,70991198000,17456489000,73105945000,18798386000,4622458000,0,0,0
222,229,0,1,64916780000,15911001000,66838225000,17189888000,4213215000,0,0,0
223,230,0,1,90610788000,24715705000,93921143000,23993631000,6544690000,0,0,0
224,231,0,1,74330811000,23256783000,77884192000,19682712000,6158369000,0,0,0
225,232,0,1,104164760000,20860569000,106233049000,27582707000,5523854000,0,0,0
226,233,0,1,70062453000,18354550000,72426768000,18552456000,4860263000,0,0,0
227,234,0,1,71320285000,18878346000,73776521000,18885528000,4998964000,0,0,0
228,235,0,1,100184507000,-27431342000,103872104000,26528741000,-7263787000,0,0,0
229,236,0,1,100746245000,-26995584000,104300371000,26677488000,-7148399000,0,0,0
230,237,0,1,87076317000,-19691196000,89275014000,23057707000,-5214206000,0,0,0
231,238,0,1,95100085000,-25236542000,98391612000,25182392000,-6682607000,0,0,0
232,239,0,1,66990393000,-19570364000,69790486000,17738978000,-5182210000,0,0,0
233,240,0,1,47338886000,-14591700000,49536732000,12535282000,-3863865000,0,0,0
234,241,0,1,74943060000,-21898765000,78077002000,19844835000,-5798767000,0,0,0
235,242,0,1,138470271000,-46850979000,146181497000,36666766000,-12406085000,0,0,0
236,243,0,1,57905255000,-16869535000,60312518000,15333244000,-4467033000,0,0,0
237,244,0,1,75002795000,-21823195000,78113194000,19860653000,-5778756000,0,0,0
238,245,0,1,116189304000,-29049803000,119765794000,30766792000,-7692354000,0,0,0
239,246,0,1,90963221000,-13355557000,91938449000,24086955000,-3536536000,0,0,0
240,247,0,1,100862716000,-27032937000,104422541000,26708330000,-7158290000,0,0,0
241,248,0,1,93357872000,-21265866000,95749305000,24721056000,-5631177000,0,0,0
242,249,0,1,88226434000,-22374949000,91019460000,23362257000,-5924860000,0,0,0
243,250,0,1,81798426000,-21015581000,84454941000,21660128000,-5564901000,0,0,0
244,251,0,1,74303220000,-19041938000,76704393000,19675406000,-5042283000,0,0,0
245,252,0,1,57564531000,-15764386000,59684094000,15243021000,-4174391000,0,0,0
246,253,0,1,81421145000,-20843483000,84046735000,21560224000,-5519330000,0,0,0
247,254,0,1,155571616000,-44167178000,161719718000,41195183000,-11695417000,0,0,0
248,255,0,1,65952417000,-15707715000,67797150000,17464123000,-4159385000,0,0,0
249,256,0,1,81415119000,-20787091000,84026929000,21558629000,-5504397000,0,0,0
250,257,0,1,94583774000,-24153190000,97618989000,25045673000,-6395737000,0,0,0
251,258,0,1,88309953000,-22687754000,91177749000,23384373000,-6007691000,0,0,0
252,259,0,1,86236004000,-16410391000,87783537000,22835193000,-4345452000,0,0,0
253,260,0,1,88816719000,-21700886000,91429415000,23518564000,-5746369000,0,0,0
254,261,0,1,83854054000,-6996277000,84145412000,22204456000,-1852606000,0,0,0
255,262,0,1,78002028000,-8838344000,78501163000,20654846000,-2340383000,0,0,0
256,263,0,1,81266335000,-16374518000,82899591000,21519231000,-4335953000,0,0,0
257,264,0,1,86999401000,-17887401000,88819226000,23037340000,-4736563000,0,0,0
258,265,0,1,87330621000,-18731099000,89316804000,23125047000,-4959973000,0,0,0
259,266,0,1,80892486000,-17489251000,82761514000,21420236000,-4631133000,0,0,0
260,267,0,1,73607162000,-15644158000,75251273000,19491091000,-4142555000,0,0,0
261,268,0,1,56935638000,-12719936000,58339212000,15076491000,-3368224000,0,0,0
262,269,0,1,80588604000,-16905783000,82342751000,21339768000,-4476632000,0,0,0
263,270,0,1,171774213000,-34049850000,175116454000,45485611000,-9016361000,0,0,0
264,271,0,1,77929603000,-8603681000,78403102000,20635668000,-2278245000,0,0,0
265,272,0,1,80192429000,-15630084000,81701439000,21234862000,-4138828000,0,0,0
266,273,0,1,80909078000,-17474800000,82774680000,21424630000,-4627307000,0,0,0
267,274,0,1,87284843000,-18622201000,89249259000,23112925000,-4931137000,0,0,0
268,275,0,1,72972516000,-13399846000,74192614000,19323037000,-3548264000,0,0,0
269,276,0,1,82251132000,-19984809000,84644204000,21780004000,-5291954000,0,0,0
270,277,0,1,71650323000,-8748415000,72182432000,18972922000,-2316570000,0,0,0
271,278,0,1,85141367000,-11716928000,85943812000,22545335000,-3102629000,0,0,0
272,279,0,1,74801124000,-20351083000,77520157000,19807251000,-5388943000,0,0,0
273,280,0,1,88846546000,-22103138000,91554669000,23526462000,-5852885000,0,0,0
274,281,0,1,74055297000,-18057677000,76225106000,19609756000,-4781652000,0,0,0
275,282,0,1,82317699000,-20056458000,84725823000,21797631000,-5310927000,0,0,0
276,283,0,1,88100536000,-18485253000,90018937000,23328919000,-4894874000,0,0,0
277,284,0,1,73121651000,-14338188000,74514156000,19362528000,-3796735000,0,0,0
278,285,0,1,82320672000,-20075030000,84733110000,21798418000,-5315845000,0,0,0
279,286,0,1,55888205000,-4516633000,56070415000,14799132000,-1195999000,0,0,0
280,287,0,1,64619042000,-5502433000,64852891000,17111047000,-1457038000,0,0,0
281,288,0,1,84654723000,-5968054000,84864832000,22416472000,-1580334000,0,0,0
282,289,0,1,65438414000,-12210068000,66567799000,17328016000,-3233212000,0,0,0
283,290,0,1,88001302000,-21674720000,90631245000,23302642000,-5739440000,0,0,0
284,291,0,1,88705734000,-21531568000,91281518000,23489175000,-5701534000,0,0,0
285,292,0,1,87421490000,-20294743000,89746273000,23149109000,-5374024000,0,0,0
286,293,0,1,82229522000,-19741347000,84566040000,21774282000,-5227486000,0,0,0
287,294,0,1,93724234000,-18207552000,95476421000,24818068000,-4821339000,0,0,0
288,295,0,1,86597988000,-17085785000,88267409000,22931046000,-4524296000,0,0,0
289,296,0,1,82232495000,-19759918000,84573268000,21775069000,-5232403000,0,0,0
290,297,0,1,64619042000,-5502433000,64852891000,17111047000,-1457038000,0,0,0
291,298,0,1,56089012000,-5033748000,56314437000,14852305000,-1332931000,0,0,0
292,299,0,1,79225360000,-7701077000,79598771000,20978783000,-2039236000,0,0,0
293,300,0,1,65605303000,-12947106000,66870646000,17372208000,-3428379000,0,0,0
294,301,0,1,70557780000,-3590030000,70649052000,18683618000,-950636000,0,0,0
295,302,0,1,80534394000,-15864643000,82082126000,21325414000,-4200939000,0,0,0
296,303,0,1,73559254000,-14949876000,75063058000,19478405000,-3958710000,0,0,0
297,304,0,1,79618655000,-12190035000,80546429000,21082927000,-3227907000,0,0,0
298,305,0,1,98422532000,-18027860000,100059975000,26062172000,-4773756000,0,0,0
299,306,0,1,86978237000,-16355091000,88502558000,23031736000,-4330809000,0,0,0
300,307,0,1,80537854000,-15230218000,81965269000,21326330000,-4032944000,0,0,0
301,308,0,1,73343840000,-13590902000,74592436000,19421363000,-3598855000,0,0,0
302,309,0,1,56688419000,-10933452000,57733156000,15011027000,-2895165000,0,0,0
303,310,0,1,80296098000,-14659868000,81623373000,21262313000,-3881916000,0,0,0
304,311,0,1,170249536000,-36263290000,174068753000,45081879000,-9602477000,0,0,0
305,312,0,1,64379206000,-8624726000,64954353000,17047539000,-2283817000,0,0,0
306,313,0,1,79972193000,-13703207000,81137720000,21176544000,-3628593000,0,0,0
307,314,0,1,80540286000,-15228087000,81967264000,21326974000,-4032380000,0,0,0
308,315,0,1,86910785000,-16182409000,88404496000,23013875000,-4285083000,0,0,0
309,316,0,1,86619211000,-15577322000,88008753000,22936666000,-4124857000,0,0,0
310,317,0,1,72947239000,-12086374000,73941735000,19316344000,-3200458000,0,0,0
311,318,0,1,79989228000,-13950207000,81196582000,21181054000,-3693999000,0,0,0
312,319,0,1,86633009000,-16238801000,88141800000,22940320000,-4300016000,0,0,0
313,320,0,1,62135743000,-1732577000,62159894000,16453472000,-458784000,0,0,0
314,321,0,1,97524436000,21118546000,99784812000,25824357000,5592166000,0,0,0
315,322,0,1,56914506000,17014286000,59403257000,15070895000,4505363000,0,0,0
316,323,0,1,42127193000,9258820000,43132658000,11155232000,2451725000,0,0,0
317,325,0,1,51402545000,11220713000,52612984000,13611334000,2971232000,0,0,0
318,326,0,1,66439748000,45261689000,80391919000,17593168000,11985243000,0,0,0
319,327,0,1,69413107000,1881950000,69438615000,18380510000,498338000,0,0,0
320,328,0,1,77217192000,46527607000,90151611000,20447022000,12320456000,0,0,0
321,329,0,1,62632491000,-1548446000,62651629000,16585011000,-410027000,0,0,0
322,330,0,1,49917653000,28910200000,57685108000,13218136000,7655387000,0,0,0
323,331,0,1,49917653000,28910200000,57685108000,13218136000,7655387000,0,0,0
324,332,0,1,72402523000,44268379000,84863507000,19172104000,11722215000,1,0,0
325,333,0,1,31102148000,848673000,31113724000,8235812000,224728000,0,0,0
