circuit_id,v0,v1,v2,v3
252,0,11,20,35
253,0,11,21,24
254,0,11,22,23
255,0,11,25,31
256,0,11,26,32
257,0,11,27,30
258,0,11,28,33
259,0,11,29,34
260,0,11,40,42
261,0,11,40,43
262,0,11,40,46
263,0,11,42,43
264,0,11,42,46
265,0,11,43,46
266,0,12,15,39
267,0,12,16,24
268,0,12,20,36
269,0,12,23,38
270,0,12,27,31
271,0,12,28,34
272,0,12,40,42
273,0,12,40,43
274,0,12,40,46
275,0,12,42,43
276,0,12,42,46
277,0,12,43,46
278,0,13,14,35
279,0,13,16,22
280,0,13,20,39
281,0,13,28,30
282,0,13,29,31
283,0,14,16,23
284,0,14,20,38
285,0,14,28,31
286,0,15,17,20
287,0,15,18,31
288,0,15,19,43
289,0,15,24,35
290,0,15,29,46
291,0,15,34,40
292,0,16,17,31
293,0,16,17,32
294,0,16,18,43
295,0,16,18,45
296,0,16,20,35
297,0,16,27,46
298,0,16,30,47
299,0,16,31,32
300,0,16,36,37
301,0,16,38,39
302,0,16,41,42
303,0,16,43,45
304,0,17,21,35
305,0,17,22,39
306,0,17,25,46
307,0,17,31,32
308,0,18,19,20
309,0,18,23,35
310,0,18,26,46
311,0,18,43,45
312,0,19,22,35
313,0,19,28,46
314,0,20,23,31
315,0,20,23,34
316,0,20,23,41
317,0,20,23,43
318,0,20,24,46
319,0,20,25,47
320,0,20,30,42
321,0,20,31,34
322,0,20,31,41
323,0,20,31,43
324,0,20,32,45
325,0,20,33,44
326,0,20,34,41
327,0,20,34,43
328,0,20,41,43
329,0,21,22,46
330,0,22,24,43
331,0,22,28,47
332,0,23,31,34
333,0,23,31,41
334,0,23,31,43
335,0,23,34,41
336,0,23,34,43
337,0,23,41,43
338,0,25,35,42
339,0,25,37,43
340,0,26,33,35
341,0,26,33,43
342,0,26,35,43
343,0,27,35,41
344,0,27,38,43
345,0,28,35,44
346,0,28,36,43
347,0,28,37,45
348,0,28,38,41
349,0,28,39,42
350,0,29,35,45
351,0,29,39,43
352,0,30,31,35
353,0,30,31,37
354,0,30,32,46
355,0,30,35,37
356,0,31,34,41
357,0,31,34,43
358,0,31,35,37
359,0,31,36,38
360,0,31,40,47
361,0,31,41,43
362,0,31,44,45
363,0,32,34,35
364,0,33,34,46
365,0,33,35,43
366,0,34,41,43
367,0,35,39,46
368,0,35,39,47
369,0,35,46,47
370,0,39,46,47
371,0,40,42,43
372,0,40,42,46
373,0,40,43,46
374,0,42,43,46
375,1,2,3,4
376,1,2,6,7
377,1,2,8,9
378,1,2,10,12
379,1,2,10,15
380,1,2,10,17
381,1,2,10,21
382,1,2,10,24
383,1,2,10,36
384,1,2,10,37
385,1,2,11,16
386,1,2,12,15
387,1,2,12,17
388,1,2,12,21
389,1,2,12,24
390,1,2,12,36
391,1,2,12,37
392,1,2,13,18
393,1,2,14,19
394,1,2,15,17
395,1,2,15,21
396,1,2,15,24
397,1,2,15,36
398,1,2,15,37
399,1,2,17,21
400,1,2,17,24
401,1,2,17,36
402,1,2,17,37
403,1,2,20,35
404,1,2,21,24
405,1,2,21,36
406,1,2,21,37
407,1,2,22,38
408,1,2,23,39
409,1,2,24,36
410,1,2,24,37
411,1,2,25,27
412,1,2,26,29
413,1,2,30,32
414,1,2,31,46
415,1,2,36,37
416,1,2,41,47
417,1,2,42,44
418,1,3,5,15
419,1,3,6,8
420,1,3,6,17
421,1,3,6,19
422,1,3,7,16
423,1,3,8,17
424,1,3,8,19
425,1,3,9,18
426,1,3,10,13
427,1,3,10,41
428,1,3,10,44
429,1,3,11,42
430,1,3,12,43
431,1,3,13,41
432,1,3,13,44
433,1,3,14,45
434,1,3,17,19
435,1,3,20,21
436,1,3,23,24
437,1,3,26,27
