fiber_row_id,sample_count,sum_value,component_fiber_path_count,raw_support_fiber_lift_digits,raw_support_fiber_lift_mod_1000000007,raw_support_fiber_lift_mod_1000000009,raw_coeff_fiber_lift_digits,raw_coeff_fiber_lift_mod_1000000007,raw_coeff_fiber_lift_mod_1000000009,long_tens_gap_flag,existing_prof_flag,raw_support_lift_positive_flag,raw_coeff_lift_positive_flag,compressed_raw_quotient_flag
264,16,9,536640,87,637738624,800544797,91,913228873,781217959,1,0,1,1,1
265,16,10,996216,88,157313388,22234704,91,485083398,561518732,1,0,1,1,1
266,16,11,1665456,89,423955418,798812997,92,326430594,645169994,1,0,1,1,1
267,16,12,2520336,90,927968027,570323048,93,343603862,89598681,1,0,1,1,1
268,16,13,3465840,90,540120252,291321641,94,205772457,459441939,1,0,1,1,1
269,16,14,4343160,91,926137876,296261689,94,433303678,446245537,1,0,1,1,1
270,16,15,4969152,92,194043425,937415803,95,882632464,984548669,1,0,1,1,1
271,16,16,5196627,92,675234148,63686917,96,663694607,902932497,1,0,1,1,1
272,16,17,4969152,93,739588888,552713980,96,469742568,104312100,1,0,1,1,1
273,16,18,4343160,93,656393287,749446393,97,72292883,526650159,1,0,1,1,1
274,16,19,3465840,94,894733176,653645991,98,598320533,383189160,1,0,1,1,1
275,16,20,2520336,94,974698248,963206456,98,738506252,269922500,1,0,1,1,1
276,16,21,1665456,95,512574412,249600345,99,159934617,619784874,1,0,1,1,1
277,16,22,996216,95,331623941,731920462,99,263445432,692192026,1,0,1,1,1
278,16,23,536640,95,12206762,208694859,99,951394436,175694610,1,0,1,1,1
279,16,24,258570,96,932104719,226823950,100,263300223,895318428,1,0,1,1,1
280,16,25,110448,96,777186481,978661566,100,741798424,595581483,1,0,1,1,1
281,16,26,41328,96,936380245,78613833,100,859596238,627088215,1,0,1,1,1
282,16,27,13328,96,278957351,730145267,100,946705503,190714291,1,0,1,1,1
283,16,28,3620,96,935134634,604449025,101,121566326,455149848,1,0,1,1,1
284,16,29,800,96,55019813,186029961,101,654075108,334549867,1,0,1,1,1
285,16,30,136,96,143668332,627096749,100,719122966,938976767,1,0,1,1,1
286,16,31,16,96,660449523,860465452,100,470575908,262987890,1,0,1,1,1
287,16,32,1,96,523166399,616558781,100,839175082,378617930,1,0,1,1,1
