addr,section_count,coeff_sum,coeff_square_sum,active_stalk_flag
612,376052,617024,1419910,1
613,377267,619090,1425232,1
614,378058,620518,1428620,1
615,380099,623300,1435292,1
616,380791,624492,1437848,1
617,382941,627033,1442285,1
618,382124,626796,1458980,1
619,383583,627933,1440729,1
620,385473,630147,1443287,1
621,387014,632120,1446362,1
622,387337,632687,1447131,1
623,389142,634586,1449616,1
624,390388,636190,1452394,1
625,389648,635742,1455584,1
626,390654,636279,1450385,1
627,392059,637874,1452806,1
628,393413,639155,1453845,1
629,394183,640274,1456582,1
630,394267,640342,1456350,1
631,395702,641494,1455784,1
632,396477,642376,1457258,1
633,397090,643176,1458668,1
634,397000,642947,1457775,1
635,397281,642944,1456744,1
636,397331,642622,1454840,1
637,397958,642690,1451742,1
638,399295,643538,1449840,1
639,399028,643268,1449416,1
640,399218,643075,1447939,1
641,400213,643560,1446798,1
642,399814,643070,1446032,1
643,399338,642187,1445701,1
644,399996,641917,1437321,1
645,400102,641587,1435697,1
646,400356,641223,1432541,1
647,400587,640850,1429472,1
648,401700,641278,1426388,1
649,402092,641655,1426061,1
650,402075,641251,1424023,1
651,403205,641738,1421204,1
652,402899,641418,1420864,1
653,402413,640619,1421439,1
654,402794,640098,1413312,1
655,402628,639310,1411852,1
656,402439,638353,1414545,1
657,404420,639334,1390274,1
658,403777,637994,1386860,1
659,402766,636582,1384250,1
660,402007,635098,1380660,1
661,400848,633542,1377578,1
662,399987,631914,1373728,1
663,398694,630214,1370482,1
664,397699,628442,1366468,1
665,396419,626598,1362692,1
666,395038,624682,1358878,1
667,393534,622694,1355638,1
668,392225,620634,1351364,1
669,390624,618502,1347678,1
670,388896,616298,1344078,1
671,387158,614022,1340282,1
672,384446,610506,1334058,1
673,384732,609802,1329818,1
674,382860,607334,1325638,1
675,381320,604794,1319894,1
676,379084,602182,1316534,1
677,377594,599498,1310106,1
678,375620,596742,1305082,1
679,373316,593914,1300858,1
680,371456,591014,1294674,1
681,369102,588042,1289998,1
682,366786,584998,1284890,1
683,364406,581882,1279694,1
684,361832,578694,1274982,1
685,359804,575434,1268022,1
686,357508,572102,1261510,1
687,354964,568698,1255650,1
688,352025,565222,1250632,1
689,349018,561674,1245582,1
690,346277,558054,1239468,1
691,343136,554362,1234254,1
692,340252,550598,1227994,1
693,336988,546762,1222826,1
694,334204,542854,1215466,1
695,330896,538874,1209234,1
696,327472,534822,1203618,1
697,324246,530698,1196962,1
698,320736,526502,1190926,1
699,317336,522234,1184218,1
700,313214,517062,1175306,1
701,312939,514984,1166818,1
702,312670,514616,1166132,1
703,312499,514152,1164954,1
704,312206,513592,1163728,1
705,311785,512936,1162454,1
706,311194,512184,1161248,1
707,310709,511336,1159546,1
708,310076,510392,1157848,1
709,309188,509352,1156456,1
710,308447,508216,1154402,1
711,307546,506984,1152376,1
712,306505,505656,1150326,1
