hybrid_candidate_id,rank_order,cycle_length,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,carrier_5_id,carrier_6_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,cell_edge_4_id,cell_edge_5_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_atom_4_id,selected_atom_5_id,selected_symbol_0_id,selected_symbol_1_id,selected_symbol_2_id,selected_symbol_3_id,selected_symbol_4_id,selected_symbol_5_id,cycle_window_node_0_id,cycle_window_node_1_id,cycle_window_node_2_id,cycle_window_node_3_id,cycle_window_node_4_id,cycle_window_node_5_id,trace_node_count,trace_edge_count,trace_detour_overhead,trace_signature_total_variation,signature_valley_depth,trace_min_signature_after_node42,metric_gromov_delta_twice,metric_diameter,metric_radius,first_node44_trace_rank,node44_realization_flag,first_selected_x2_flag,immediate_x1_tail_flag,improves_tail_overhead_flag,matches_baseline_tail_score_flag,best_hybrid_flag
95,96,6,12,3,11,8,6,13,12,14,13,31,24,26,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
96,97,6,12,3,11,8,7,13,12,14,13,31,27,30,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
97,98,6,12,11,1,8,6,13,12,41,5,4,24,26,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
98,99,6,12,11,1,8,7,13,12,41,5,4,27,30,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
99,100,6,12,11,3,8,6,13,12,41,13,11,24,26,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
100,101,6,12,11,3,8,7,13,12,41,13,11,27,30,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
101,102,6,12,3,1,11,7,13,12,14,3,5,28,30,43,7,4,4,1,12,19,2,1,1,0,4,5,22,6,9,19,44,29,8,7,5,239,93,90,2,4,3,7,1,1,1,0,0,0
102,103,6,12,3,8,11,7,13,12,14,11,31,28,30,43,7,4,4,1,12,19,2,1,1,0,4,5,22,6,9,19,44,29,8,7,5,239,93,90,2,4,3,7,1,1,1,0,0,0
103,104,6,12,3,11,0,7,13,12,14,13,2,1,30,43,7,4,1,1,12,19,2,1,0,0,4,5,7,1,4,19,44,29,8,7,5,239,93,90,2,4,3,7,1,1,1,0,0,0
104,105,6,12,11,1,3,7,13,12,41,5,3,10,30,43,7,4,4,1,12,19,2,1,1,0,4,5,22,6,9,19,44,29,8,7,5,239,93,90,2,4,3,7,1,1,1,0,0,0
